target_id,wavelength_bin_um,cwave_um,cband_um,aperture_flux_uJy,aperture_flux_unc_uJy,psf_flux_uJy,psf_flux_unc_uJy,measurement_count
ucs_0972,2.18,2.1891289622685735,0.054770254013150284,68117.94921875,289.469482421875,68915.09765625,273.9815979003906,2
ucs_0972,2.24,2.239724922438497,0.055582908982096495,70356.68359375,289.5960998535156,72158.29296875,277.56285095214844,2
ucs_0972,2.3000000000000003,2.2912210992710262,0.05687342412173636,63316.4140625,277.98915100097656,63192.615234375,266.50474548339844,2
ucs_0972,2.34,2.343677440104762,0.05820060653968752,56650.541015625,255.68701171875,56053.595703125,242.3997344970703,2
ucs_0972,2.4,2.3974547803879,0.05953289732287839,55324.90625,313.91160583496094,56779.505859375,303.64891052246094,2
ucs_0972,2.46,2.455861830896444,0.06606447930244398,41227.24609375,239.84054565429688,41579.244140625,211.697509765625,2
ucs_0972,2.52,2.5203397876969245,0.07273006924029277,37103.623046875,223.46361541748047,37971.91796875,189.59613800048828,2
ucs_0972,2.6,2.5936611820724726,0.07488050481464537,35639.640625,217.79464721679688,36222.9296875,183.62771606445312,1
ucs_0972,2.66,2.6584591352090627,0.07374538972085717,36869.828125,206.3738555908203,37792.623046875,187.57454681396484,2
ucs_0972,2.72,2.7251673554763443,0.07901351621559971,34202.8671875,198.85577392578125,35427.45703125,185.8890838623047,1
ucs_0972,2.74,2.737224094700763,0.07979033247298933,32895.63671875,198.71022033691406,33692.8828125,178.92613220214844,1
ucs_0972,2.8000000000000003,2.7987204192669095,0.07663244446367073,32477.740234375,213.40638732910156,33579.4609375,179.49754333496094,1
ucs_0972,2.82,2.811690590512736,0.08201661035359728,32423.021484375,190.5856475830078,33158.30859375,177.60865783691406,1
ucs_0972,2.88,2.8817303210963314,0.08579036154243153,32128.486328125,192.23056030273438,33045.2333984375,176.82591247558594,2
ucs_0972,2.92,2.9191022271260816,0.08419751182861894,32314.29296875,204.36375427246094,33603.5625,178.02037048339844,1
ucs_0972,2.96,2.966530090428808,0.08828227147739284,31281.767578125,182.12051391601562,31966.47265625,171.76495361328125,1
ucs_0972,2.98,2.971321709240595,0.08535454687367841,31781.345703125,184.0130157470703,32678.44921875,174.19480895996094,1
ucs_0972,3.0,2.9988195194257417,0.08754916536895155,30957.55859375,186.37905883789062,32298.28125,170.38185119628906,1
ucs_0972,3.04,3.0493229832767907,0.09099576249124407,31793.279296875,200.30018615722656,32664.17578125,172.92601013183594,1
ucs_0972,3.06,3.0527083909626267,0.0896355577597539,36008.12890625,204.12893676757812,33736.87109375,177.22589111328125,1
ucs_0972,3.08,3.080478236309668,0.08663859176229799,32773.453125,196.29873657226562,33991.515625,175.47305297851562,1
ucs_0972,3.14,3.1350396275101104,0.09210352366679903,32811.689453125,187.0444564819336,33875.462890625,174.98455810546875,2
ucs_0972,3.16,3.1640062133260867,0.0929976996195521,33719.5390625,197.2083511352539,34928.767578125,178.52598571777344,2
ucs_0972,3.22,3.2226570023449437,0.09525591236070002,33645.9765625,193.0416259765625,35026.796875,177.21311950683594,1
ucs_0972,3.24,3.2483987980192355,0.09316346635472209,31068.9453125,203.12550354003906,18957.767578125,130.70425415039062,1
ucs_0972,3.2600000000000002,3.2511375622554572,0.09318476949954335,35793.7578125,188.91871643066406,37612.84765625,186.4899444580078,1
ucs_0972,3.3000000000000003,3.3098934497656005,0.09514235589639912,35136.2109375,251.7962646484375,36731.6015625,183.92449951171875,1
ucs_0972,3.34,3.338117107909323,0.09501989781188738,36703.25390625,207.95874786376953,38233.984375,185.02406311035156,2
ucs_0972,3.42,3.4292050893779855,0.09663496430531826,37625.427734375,196.25609588623047,38987.751953125,186.75255584716797,2
ucs_0972,3.52,3.521621471137598,0.09799083275881172,38475.498046875,205.76428985595703,40014.1640625,188.34864044189453,2
